A	B	C	X	Y	Z	MT0	MT1	MT2	MT3	MT4	MT5	MT6	TIME	J0	J1	J2	J3	J4	J5	J6	
-2.984	0.212	2.913	561.765	-200.373	41.211	0.156	55.313	10.469	-16.416	-0.007	-0.355	-0.094	0	-0.121	0.879	-0.587	-1.514	0.908	1.046	-1.262	
-2.984	0.212	2.913	561.765	-200.372	41.212	0.147	55.340	10.461	-16.402	-0.016	-0.363	-0.092	8	-0.121	0.879	-0.587	-1.514	0.908	1.046	-1.262	
-2.984	0.212	2.913	561.765	-200.370	41.213	0.184	55.374	10.470	-16.382	-0.021	-0.366	-0.094	16	-0.121	0.879	-0.587	-1.514	0.908	1.046	-1.262	
-2.984	0.212	2.913	561.767	-200.366	41.214	0.238	55.348	10.453	-16.356	-0.021	-0.375	-0.094	21	-0.121	0.879	-0.587	-1.514	0.908	1.046	-1.262	
-2.984	0.212	2.913	561.771	-200.355	41.214	0.273	55.368	10.423	-16.322	-0.023	-0.389	-0.090	29	-0.121	0.879	-0.587	-1.514	0.908	1.046	-1.262	
-2.984	0.212	2.913	561.778	-200.340	41.214	0.281	55.390	10.364	-16.269	-0.034	-0.404	-0.084	35	-0.121	0.879	-0.587	-1.514	0.908	1.046	-1.262	
-2.984	0.212	2.913	561.784	-200.329	41.214	0.300	55.429	10.339	-16.247	-0.050	-0.408	-0.081	42	-0.121	0.879	-0.587	-1.514	0.908	1.046	-1.262	
-2.984	0.212	2.913	561.790	-200.318	41.215	0.313	55.473	10.315	-16.263	-0.059	-0.413	-0.071	48	-0.121	0.879	-0.587	-1.514	0.908	1.046	-1.262	
-2.984	0.212	2.913	561.795	-200.310	41.216	0.173	55.454	10.263	-16.307	-0.009	-0.407	-0.081	56	-0.121	0.879	-0.587	-1.514	0.908	1.046	-1.262	
-2.984	0.212	2.913	561.801	-200.298	41.216	0.095	55.398	10.238	-16.318	-0.117	-0.406	-0.078	63	-0.121	0.879	-0.587	-1.514	0.908	1.046	-1.262	
-2.984	0.213	2.913	561.806	-200.289	41.217	-0.155	55.328	10.157	-16.307	-0.084	-0.409	-0.076	69	-0.121	0.879	-0.587	-1.514	0.908	1.046	-1.262	
-2.984	0.213	2.913	561.812	-200.279	41.221	-0.167	55.348	10.086	-16.320	-0.100	-0.408	-0.075	77	-0.121	0.879	-0.587	-1.514	0.908	1.046	-1.262	
-2.984	0.213	2.913	561.814	-200.279	41.225	-0.149	55.336	10.160	-16.299	-0.070	-0.406	-0.067	83	-0.121	0.879	-0.587	-1.514	0.908	1.046	-1.262	
-2.984	0.213	2.913	561.815	-200.282	41.229	-0.117	55.379	10.145	-16.323	-0.078	-0.402	-0.065	90	-0.121	0.879	-0.587	-1.514	0.908	1.046	-1.262	
-2.984	0.213	2.913	561.817	-200.284	41.234	-0.114	55.476	10.116	-16.320	-0.067	-0.403	-0.060	96	-0.121	0.879	-0.587	-1.514	0.908	1.046	-1.262	
-2.984	0.213	2.913	561.819	-200.285	41.237	-0.047	55.493	10.138	-16.321	-0.055	-0.407	-0.053	104	-0.121	0.879	-0.587	-1.514	0.908	1.046	-1.262	
-2.984	0.213	2.913	561.821	-200.286	41.242	0.026	55.497	10.189	-16.280	-0.040	-0.406	-0.045	111	-0.121	0.879	-0.587	-1.514	0.908	1.046	-1.262	
